sgRNA	Gene	PlasmidLib	R1_2iSL	R1_High	R1_Negative	R1_Selected	R2_2iSL	R2_High	R2_Negative	R2_Selected
Id2_p2_4	Id2_p2	3940.3376389983946	2942.594580715557	2948.35718097652	3456.938223144279	2838.324709882408	3798.0095627347973	3796.1366274799893	6950.367888470948	4947.9700616423725
Nfe2l2_p1_1	Nfe2l2_p1	2704.0716804417852	3767.4595324226457	5039.01045475987	4803.536251927225	4268.352265420924	3716.111782406284	5217.543498970237	3426.5421782974972	3208.1154453724716
Zfp574_p2_4	Zfp574_p2	1694.1749349433328	2289.370689318776	3447.5127335233647	1705.858323775411	2023.4346650840134	2991.828287625996	6195.373398495425	1924.0520748799825	2584.9662484200194
gRNA_1836	RE47	3546.366930589658	4079.8709587428452	5785.986193606381	5044.717988425663	4156.357120802478	4629.783894196259	5715.035903991824	5205.441046886373	4790.804113738435
gRNA_1847	RE47	5468.9288543064295	6685.35755769787	6100.594798908794	5550.948404096864	4855.073097675768	6917.803132124095	10778.185208300189	5202.352680795073	7404.721984140759
Zfp445_p1_1	Zfp445_p1	3501.723642889052	3232.779107139458	2654.8396553591856	3193.1456988491123	4315.99199111683	4386.649858845985	4294.854383252861	4109.071084474826	4684.648166469987
Zfp518b_p1_12	Zfp518b_p1	4492.703741056739	4294.730991073734	2481.7170429441708	3558.6867682295574	4768.987277558605	5123.729881802604	2413.9409800308517	5248.678172164575	5542.167636612521
Gabpb2_p1_11	Gabpb2_p1	3234.242249632032	3394.5415452736324	3587.241136437006	3694.351495009929	3705.869188344699	3365.4869103748374	5223.670252726661	3689.053296058008	4160.761673456863
Smarcc1_p2_4	Smarcc1_p2	1619.1389005312974	1868.2944190611154	1345.4351249105969	1277.5095105151643	2341.868621051386	2636.084804324017	3673.60155235152	2554.0787575052095	2470.5384091566266
Grhl2_p1_3	Grhl2_p1	4815.295633537388	3613.1060609205706	2767.3254136796013	1820.1684176366498	5109.151634720601	5389.897667870272	5782.430195312482	1794.340699045377	4861.11519569546
Rbpj_p2_7	Rbpj_p2	3576.255233372267	5191.215953557785	3799.0307282746635	5406.49059317332	4739.734814411995	6180.723109167477	4949.191684438889	4788.511624560855	4068.3922128466543
gRNA_2777	RE61	3659.2362596632233	5861.727433762799	4253.367736490717	4925.38327505404	5165.984991691155	7703.509962150768	5900.063867435813	8607.276296453469	5742.071693157002
Gmeb2_p1_11	Gmeb2_p1	2641.64674425026	2444.958988592867	1287.4346557766326	2180.684867506711	2895.1580668529627	2505.5602169254494	1361.3646846772976	2337.8931311142005	2870.3465222455893
BRDN0000737418	NT	3344.084915132675	2388.156911080104	2294.533710739104	2507.285135681679	3250.3665479189294	1865.7338081089401	1776.7585893628097	2080.014562490639	2263.741109283025
Nanog_p1_12	Nanog_p1	2850.612641764113	2173.2968787492155	2125.8050732584807	1458.3958128889926	2972.050255695478	2963.6759256380697	1480.2237075519133	2100.08894208409	3017.8619294887585
Nfatc4_p1_6	Nfatc4_p1	2038.4579163632598	3593.348816568305	3668.090275229805	2291.2264967351616	3942.3962475015664	3644.451224618835	6066.711569610532	1294.0253922547556	2879.9970629063573
