sgRNA	Gene	R1_Unsorted	R2_Unsorted	R1_Selected	R2_Selected	R1_Negative	R2_Negative	R1_Low	R2_Low	R1_High	R2_High	PlasmidLib
Crxos_p4_7	Crxos_p4	531.095876530849	375.24054309113984	449.08669628945563	482.183615751126	449.4542800688121	481.2006876262833	476.7359535890129	509.67136958728463	395.48173514123243	381.9970076376958	383.56549833728013
Zfp180_p1_12	Zfp180_p1	346.7406532026946	473.004362747069	427.84610930279223	458.9403601714403	309.1224852001655	356.4858305121319	355.79062546175106	344.4354461137814	309.61513711474356	432.84302571916385	347.0799997149535
Zfp574_p2_5	Zfp574_p2	221.608351358196	163.89816824670476	374.23891357454636	367.3345881809145	327.76796843446124	214.11223256765817	207.8380881410229	139.6359916677492	115.58965118950425	148.6268220842912	486.47331496435527
Zfp971_p1_2	Zfp971_p1	1508.2740810111702	1568.5342241855692	952.7920448303316	937.4779750473215	1677.1121498637551	1566.109577389211	1795.3922981221694	1394.0326501496963	1463.8603682785074	1526.6842864974121	917.7506191923702
Hmgb3_p3_10	Hmgb3_p3	427.93336813996467	662.7811891379903	408.62843536247766	425.2148520754258	381.741735691633	449.1942198713241	459.12255628892626	638.8346618799527	373.18944526897087	664.9094672191975	407.8891640854979
Spic_p2_10	Spic_p2	242.62293640078354	235.78332975841738	303.4369569523349	256.1315614859478	271.83151873157414	225.1489455866096	307.6473395081808	313.01734798853784	239.43570603540167	138.1968696573234	248.84981111638174
Nanog_p1_5	Nanog_p1	85.01354858137691	28.754064604685045	541.1292398983305	609.3378962752887	96.17143984005149	40.83583817012037	44.620606493552934	34.9089979169373	76.7845540044564	36.50483349438731	573.4771962945188
Esrrb_p2_8	Esrrb_p2	225.4291850023028	625.4009051518998	345.9181309256618	365.5115877432921	196.26824457153367	526.4512110039842	172.61129354084952	633.0164955604631	225.3998198195333	542.3575262023257	305.9168730641234
Tsc22d1_p2_7	Tsc22d1_p2	227.33960182435624	470.1289562866005	373.2274570513719	333.60908008490003	350.3388165601876	422.7061086258406	275.94322436802474	498.0350369483055	262.5536362733025	470.6516032669221	375.14576788597395
Zfp219_p1_7	Zfp219_p1	269.36877190953135	461.502736905195	334.79210917074283	341.81258205420085	201.174950685822	464.64561809785613	270.0720919346625	525.9622352818553	244.38954822923756	440.6654900393897	306.8523986698241
Zfp516_p4_2	Zfp516_p4	452.76878682665904	937.3825061127325	433.9148484418389	579.2583890545191	436.6968441716624	1103.6713018951452	474.38750061566805	1065.8880697304858	582.9020981413571	993.4529686686833	509.86145510687237
Arid3a_p2_12	Arid3a_p2	466.1417045810329	657.0303762170533	400.53678317708204	328.1400787720328	406.2752662630747	505.4814562679765	383.97206114188975	516.6531691706721	475.56885060824607	513.6751570281643	315.27212912113026
Zfp57_p3_4	Zfp57_p3	309.487525172653	385.3044657027796	407.6169788393032	369.6133387279425	271.83151873157414	454.7125763807998	346.3968135683715	287.4174161827838	320.34846186805464	372.870799264099	460.2785980047361
Hesx1_p2_8	Hesx1_p2	223.5187681802494	189.77682639092131	206.33713072758772	205.0875492325205	230.61518737155205	217.4232464733436	221.92880598109224	169.89045652909488	267.5074784671384	204.68781637924315	215.17088931115714
Ttf1_p1_4	Ttf1_p1	900.7615315981845	323.4832268027068	315.5744352304283	318.11357636510957	913.6286784804893	300.19859411547947	918.2451125778525	276.9447168077026	863.6198224587247	397.6419362781475	203.94458204274895
Klf9_p1_4	Klf9_p1	502.4396242000478	428.43556260980716	350.975413541534	342.7240822730121	618.244970400331	484.51170153196875	551.8864487360495	325.8173138914148	516.0252285245725	469.34785921355115	431.27730422801494
Zik1_p1_8	Zik1_p1	303.7562747064928	199.84074900256107	240.72665251551902	251.11831028248622	243.37262326870174	140.16625534068345	300.6019805881461	176.87225611248235	306.3125756521863	217.7252569129529	205.8156332541503
Sall2_p2_8	Sall2_p2	714.4958914479768	330.67174295387804	551.2438051300751	508.61712209665086	930.3114792690695	389.5959695689862	631.7338498297757	500.3623034761014	646.4764062955845	425.020561398938	513.6035575296751
Baz2a_p1_2	Baz2a_p1	450.8583700046056	569.330479172764	480.4418485078636	517.2763741753573	387.629783028779	539.695266626726	464.9936887222885	520.14406896236585	394.6560947755931	649.2645385787457	530.4430184322874
Lrrfip2_p1_10	Lrrfip2_p1	490.0219148567006	455.751923984258	521.911565958016	487.6526170639932	523.0548717831372	469.0603033054367	520.1823335958934	471.2714718786536	475.56885060824607	465.4366270534382	518.2811855581785
Gtf2i_p1_12	Gtf2i_p1	143.28126165400602	412.6208270772304	272.08180473392696	378.72834091605455	137.38777120007356	462.4382754940658	109.20306326053745	479.416904725939	139.53322179304442	457.61416273321237	311.5300266983275
BRDN0000737715	NT	421.2469092627777	300.47997511895875	450.09815281263013	406.0733474803906	409.2192899316477	327.79037666285814	480.25863304903027	306.03554840515034	397.95865623815035	293.34241200846947	400.40495923989243
Nr2f6_p2_10	Nr2f6_p2	473.7833718692466	409.7454206167619	395.4795005612098	297.1490713324519	361.13357001162194	315.6499923420115	428.5926676354427	475.9260049342452	531.7123954717196	344.1884300899375	391.0497031828856
Lin28b_p1_8	Lin28b_p1	588.4083811924514	261.66198790263394	335.8035656939173	283.0208179408783	959.7517159547996	294.68023760600374	675.1802298366563	198.98128812654264	603.5431072823401	267.26753094105	261.0116439904906
Zfp280c_p1_1	Zfp280c_p1	1014.4313325103626	784.9859637079018	768.7069576125817	784.8016883964451	926.3861143776389	668.824808948458	1197.7110164058945	685.3799924358691	1642.1986872565997	956.948135174296	817.6493793823971
Gbx2_p2_9	Gbx2_p2	207.28022519279537	592.3337308565119	285.2307395351948	351.3833343517185	146.2198422057926	581.6347760987416	192.57314381428108	601.5983974352196	165.12807312786322	466.7403711068092	261.0116439904906
Rcor2_p1_1	Rcor2_p1	728.8240176133774	563.5796662518269	493.59078330913144	522.7453754882245	641.7971597489151	518.7255118907183	736.2400071436234	564.3621329904864	673.7225383616819	492.8152521742287	560.3798378147093
Csrnp2_p1_7	Csrnp2_p1	300.8906494734127	330.67174295387804	367.15871791232524	378.72834091605455	343.46942800018394	246.11870032261737	368.7071168151479	297.890115557865	329.43050589008715	375.4782873708409	345.2089485035521
Foxo4_p1_3	Foxo4_p1	392.5906569319765	773.4843378660278	346.92958744883623	484.9181164075596	277.71956606872016	501.0667710603959	487.30399196906495	812.2160182007412	469.7893680487708	912.6208373596828	367.6615630403685
Xert_p1_12	Xert_p1	240.7125195787301	297.6045686584902	191.165282879971	252.02981050129742	209.02568046868336	316.7536636439067	246.5875622012136	196.6540215987468	154.3947483745521	284.21620363487267	231.07482460806875
