sgRNA	Gene	replicate	reporter	H	L	lfc
Zfx_p1_2	Zfx_p1	R1	RE96	1006.5435246828242	751.8852938045333	0.4208202147717575
Zfx_p1_2	Zfx_p1	R1	RE58	958.2104602283003	761.5005771446264	0.33149354324665403
Zfx_p1_2	Zfx_p1	R1	RE61	647.2080877644321	694.5633065346065	-0.10187503966877827
Zfx_p1_2	Zfx_p1	R1	RE85	902.3060250194587	945.3594666124442	-0.06724546145414417
Zfx_p1_2	Zfx_p1	R1	RE127	861.1612447390495	994.1935141112692	-0.20724105517838726
Zfx_p1_2	Zfx_p1	R1	RE57L	1247.4647726596836	847.8788417552479	0.5570635956830743
Zfx_p1_2	Zfx_p1	R1	RE57R	882.8302380630246	1187.8906501534398	-0.4281898903214299
Zfx_p1_2	Zfx_p1	R2	noRE	746.4314554678609	811.8229509435826	-0.1211537857629438
Zfx_p1_2	Zfx_p1	R2	RE57M	1030.2365376277905	1186.483087898234	-0.20371408078028538
Zfx_p1_2	Zfx_p1	R2	RE97	852.1922465144565	1372.5747103311826	-0.6876274294699797
Zfx_p1_2	Zfx_p1	R2	RE93	884.1183454471947	975.5770917147187	-0.14201485432505087
Zfx_p1_2	Zfx_p1	R2	RE95	798.5296054915178	628.6861935798278	0.3450009349462518
Zfx_p1_2	Zfx_p1	R2	RE96	900.0138582577151	937.2198879500554	-0.05843971640959566
Zfx_p1_2	Zfx_p1	R2	RE58	1256.677774871772	1037.3370591917078	0.27672760646140354
Zfx_p1_2	Zfx_p1	R2	RE61	1308.2989681915433	912.9444063294299	0.5190885678867376
Zfx_p1_2	Zfx_p1	R2	RE85	867.6414790818106	553.7348094416329	0.6478943822932032
Zfx_p1_2	Zfx_p1	R2	RE127	982.7294777743597	1036.6210274474088	-0.0770215639892644
Zfx_p1_2	Zfx_p1	R2	RE57L	753.6934035508831	454.2509260881209	0.7304756923411319
Zfx_p1_2	Zfx_p1	R2	RE57R	884.2181048422005	1252.6242391638361	-0.5024747232011247
Zfx_p1_2	Zfx_p1	R3	noRE	959.1085770123273	803.4869516245616	0.2554166379457702
Zfx_p1_2	Zfx_p1	R3	RE57M	867.826637748077	914.2418507277525	-0.07516814785247321
Zfx_p1_2	Zfx_p1	R3	RE97	724.7730902240698	748.070806312879	-0.04564481926098073
Zfx_p1_2	Zfx_p1	R3	RE93	919.5082738668251	726.7806094624594	0.3393384667674116
Zfx_p1_2	Zfx_p1	R3	RE95	1081.5647137204949	826.8514599024012	0.387415796021946
Zfx_p1_2	Zfx_p1	R3	RE96	610.4470630295457	827.5310217565984	-0.43894100333350444
Zfx_p1_2	Zfx_p1	R3	RE58	748.1198800994445	703.6354091164088	0.08844016405332084
Zfx_p1_2	Zfx_p1	R3	RE61	871.4869093527968	702.3159411902958	0.3113548243328538
Zfx_p1_2	Zfx_p1	R3	RE85	720.6428375353415	861.3099557025837	-0.257244824507066
Zfx_p1_2	Zfx_p1	R3	RE127	1017.023987857752	859.4700755878439	0.24283179211821768
Zfx_p1_2	Zfx_p1	R3	RE57L	2021.7707085606019	2082.6350606954993	-0.042790461368263324
Zfx_p1_2	Zfx_p1	R3	RE57R	2300.6348341848657	673.9415700747738	1.771321453660119
gRNA_2025	RE50	R1	noRE	298.5033600806525	472.8104798246096	-0.6634970246924426
gRNA_2025	RE50	R1	RE57M	573.6053493826566	299.0620037345485	0.9395907642137968
gRNA_2025	RE50	R1	RE97	237.72647357073245	352.6345432290022	-0.5688514570463141
gRNA_2025	RE50	R1	RE93	231.31281086454837	235.52016590542237	-0.026004309254339844
gRNA_2025	RE50	R1	RE95	278.52670712494415	298.5170462957134	-0.09999417783637485
gRNA_2025	RE50	R1	RE96	439.66535335369485	438.76082697591016	0.0029710555068747594
gRNA_2025	RE50	R1	RE58	358.17013684874905	456.6057619242441	-0.3502953270332416
gRNA_2025	RE50	R1	RE61	184.26822134106553	227.20167863010136	-0.3021514127688543
gRNA_2025	RE50	R1	RE85	870.6373455898064	489.16464927206187	0.8317388353238145
gRNA_2025	RE50	R1	RE127	377.0448433892997	378.2785078081902	-0.0047125671232260205
gRNA_2025	RE50	R1	RE57L	381.9301759553681	238.07435458152278	0.6818738649754219
gRNA_2025	RE50	R1	RE57R	643.4328852105393	625.8588052300959	0.03995182347417125
gRNA_2025	RE50	R2	noRE	479.39823055400643	381.3462276766685	0.3301154179593509
gRNA_2025	RE50	R2	RE57M	583.6130477272183	465.8690948071008	0.3250812630652045
gRNA_2025	RE50	R2	RE97	130.83077601588923	270.5364646449867	-1.0480641679096043
gRNA_2025	RE50	R2	RE93	245.4581436520063	298.4393179926016	-0.2819501502786753
gRNA_2025	RE50	R2	RE95	164.6058151300828	344.3018272094362	-1.0646127923312294
gRNA_2025	RE50	R2	RE96	330.51356376695753	334.7213885535912	-0.01825071392419167
gRNA_2025	RE50	R2	RE58	618.3933193969782	427.01303982183134	0.5342341513627493
gRNA_2025	RE50	R2	RE61	263.9219820559309	399.0933913978132	-0.5965963578986969
gRNA_2025	RE50	R2	RE85	451.5361163692614	395.52486388688067	0.19106847285093934
gRNA_2025	RE50	R2	RE127	364.71150980099736	360.0240694128725	0.01866185370983
gRNA_2025	RE50	R2	RE57L	599.1826288094605	328.5431174352892	0.8668932450361614
gRNA_2025	RE50	R2	RE57R	209.12459939918713	394.87101218373766	-0.9169862352899235
gRNA_2025	RE50	R3	noRE	333.0238114626136	271.40003699318527	0.29519458129907356
gRNA_2025	RE50	R3	RE57M	325.66240703753834	384.4942362873726	-0.2395780022669288
gRNA_2025	RE50	R3	RE97	379.8701064990191	376.4485347897068	0.013053195862903752
gRNA_2025	RE50	R3	RE93	264.84486736038167	447.0022332534596	-0.7551122918105334
gRNA_2025	RE50	R3	RE95	346.9496738847082	395.76135646792795	-0.18989921034814755
gRNA_2025	RE50	R3	RE96	259.21882531544475	342.37639104366303	-0.4013992098988884
