count	Med	sgRNA	rep	cell	xist_ex
2i_sgOct4_R1	2i	sgOct4	1	49	1
2i_sgOct4_R1	2i	sgOct4	1	50	0
2i_sgOct4_R1	2i	sgOct4	1	51	0
2i_sgOct4_R1	2i	sgOct4	1	52	0
2i_sgOct4_R1	2i	sgOct4	1	53	0
2i_sgOct4_R1	2i	sgOct4	1	54	0
2i_sgOct4_R1	2i	sgOct4	1	55	0
2i_sgOct4_R1	2i	sgOct4	1	56	0
2i_sgOct4_R1	2i	sgOct4	1	57	0
2i_sgOct4_R1	2i	sgOct4	1	58	0
2i_sgOct4_R1	2i	sgOct4	1	59	0
2i_sgOct4_R1	2i	sgOct4	1	60	0
2i_sgOct4_R1	2i	sgOct4	1	61	0
2i_sgOct4_R1	2i	sgOct4	1	62	0
2i_sgOct4_R1	2i	sgOct4	1	63	0
2i_sgOct4_R1	2i	sgOct4	1	64	0
2i_sgOct4_R1	2i	sgOct4	1	65	0
2i_sgOct4_R1	2i	sgOct4	1	66	0
2i_sgOct4_R1	2i	sgOct4	1	67	0
2i_sgOct4_R1	2i	sgOct4	1	68	0
2i_sgOct4_R1	2i	sgOct4	1	69	0
2i_sgOct4_R1	2i	sgOct4	1	70	0
2i_sgOct4_R1	2i	sgOct4	1	71	0
2i_sgOct4_R1	2i	sgOct4	1	72	1
2i_sgOct4_R1	2i	sgOct4	1	73	0
2i_sgOct4_R1	2i	sgOct4	1	74	0
2i_sgOct4_R1	2i	sgOct4	1	75	0
2i_sgOct4_R1	2i	sgOct4	1	76	2
2i_sgOct4_R1	2i	sgOct4	1	77	0
2i_sgOct4_R1	2i	sgOct4	1	78	0
2i_sgOct4_R1	2i	sgOct4	1	79	0
2i_sgOct4_R1	2i	sgOct4	1	80	0
2i_sgOct4_R1	2i	sgOct4	1	81	0
2i_sgOct4_R1	2i	sgOct4	1	82	0
2i_sgOct4_R1	2i	sgOct4	1	83	0
2i_sgOct4_R1	2i	sgOct4	1	84	0
2i_sgOct4_R1	2i	sgOct4	1	85	0
2i_sgOct4_R1	2i	sgOct4	1	86	0
2i_sgOct4_R1	2i	sgOct4	1	87	0
2i_sgOct4_R1	2i	sgOct4	1	88	0
2i_sgOct4_R1	2i	sgOct4	1	89	0
2i_sgOct4_R1	2i	sgOct4	1	90	0
2i_sgOct4_R1	2i	sgOct4	1	91	0
2i_sgOct4_R1	2i	sgOct4	1	92	1
2i_sgOct4_R1	2i	sgOct4	1	93	0
2i_sgOct4_R1	2i	sgOct4	1	94	0
2i_sgOct4_R1	2i	sgOct4	1	95	0
2i_sgOct4_R1	2i	sgOct4	1	96	0
2i_sgOct4_R1	2i	sgOct4	1	97	0
2i_sgOct4_R1	2i	sgOct4	1	98	1
2i_sgOct4_R1	2i	sgOct4	1	99	0
2i_sgOct4_R1	2i	sgOct4	1	100	0
2i_sgOct4_R2	2i	sgOct4	2	1	0
2i_sgOct4_R2	2i	sgOct4	2	2	0
2i_sgOct4_R2	2i	sgOct4	2	3	0
2i_sgOct4_R2	2i	sgOct4	2	4	0
2i_sgOct4_R2	2i	sgOct4	2	5	0
2i_sgOct4_R2	2i	sgOct4	2	6	0
2i_sgOct4_R2	2i	sgOct4	2	7	0
2i_sgOct4_R2	2i	sgOct4	2	8	0
2i_sgOct4_R2	2i	sgOct4	2	9	0
2i_sgOct4_R2	2i	sgOct4	2	10	0
2i_sgOct4_R2	2i	sgOct4	2	11	0
2i_sgOct4_R2	2i	sgOct4	2	12	0
2i_sgOct4_R2	2i	sgOct4	2	13	0
2i_sgOct4_R2	2i	sgOct4	2	14	1
2i_sgOct4_R2	2i	sgOct4	2	15	0
2i_sgOct4_R2	2i	sgOct4	2	16	0
2i_sgOct4_R2	2i	sgOct4	2	17	0
2i_sgOct4_R2	2i	sgOct4	2	18	0
2i_sgOct4_R2	2i	sgOct4	2	19	0
2i_sgOct4_R2	2i	sgOct4	2	20	0
2i_sgOct4_R2	2i	sgOct4	2	21	0
2i_sgOct4_R2	2i	sgOct4	2	22	0
2i_sgOct4_R2	2i	sgOct4	2	23	0
2i_sgOct4_R2	2i	sgOct4	2	24	0
2i_sgOct4_R2	2i	sgOct4	2	25	0
2i_sgOct4_R2	2i	sgOct4	2	26	1
2i_sgOct4_R2	2i	sgOct4	2	27	0
2i_sgOct4_R2	2i	sgOct4	2	28	0
2i_sgOct4_R2	2i	sgOct4	2	29	0
2i_sgOct4_R2	2i	sgOct4	2	30	0
2i_sgOct4_R2	2i	sgOct4	2	31	0
2i_sgOct4_R2	2i	sgOct4	2	32	0
2i_sgOct4_R2	2i	sgOct4	2	33	0
2i_sgOct4_R2	2i	sgOct4	2	34	0
2i_sgOct4_R2	2i	sgOct4	2	35	0
2i_sgOct4_R2	2i	sgOct4	2	36	0
2i_sgOct4_R2	2i	sgOct4	2	37	0
2i_sgOct4_R2	2i	sgOct4	2	38	1
2i_sgOct4_R2	2i	sgOct4	2	39	0
2i_sgOct4_R2	2i	sgOct4	2	40	0
2i_sgOct4_R2	2i	sgOct4	2	41	0
2i_sgOct4_R2	2i	sgOct4	2	42	0
2i_sgOct4_R2	2i	sgOct4	2	43	0
2i_sgOct4_R2	2i	sgOct4	2	44	0
2i_sgOct4_R2	2i	sgOct4	2	45	0
2i_sgOct4_R2	2i	sgOct4	2	46	0
2i_sgOct4_R2	2i	sgOct4	2	47	0
2i_sgOct4_R2	2i	sgOct4	2	48	0
2i_sgOct4_R2	2i	sgOct4	2	49	1
2i_sgOct4_R2	2i	sgOct4	2	50	0
2i_sgOct4_R2	2i	sgOct4	2	51	2
2i_sgOct4_R2	2i	sgOct4	2	52	0
2i_sgOct4_R2	2i	sgOct4	2	53	0
2i_sgOct4_R2	2i	sgOct4	2	54	0
2i_sgOct4_R2	2i	sgOct4	2	55	0
2i_sgOct4_R2	2i	sgOct4	2	56	0
2i_sgOct4_R2	2i	sgOct4	2	57	0
2i_sgOct4_R2	2i	sgOct4	2	58	0
2i_sgOct4_R2	2i	sgOct4	2	59	0
2i_sgOct4_R2	2i	sgOct4	2	60	0
2i_sgOct4_R2	2i	sgOct4	2	61	0
2i_sgOct4_R2	2i	sgOct4	2	62	0
2i_sgOct4_R2	2i	sgOct4	2	63	0
2i_sgOct4_R2	2i	sgOct4	2	64	0
2i_sgOct4_R2	2i	sgOct4	2	65	1
2i_sgOct4_R2	2i	sgOct4	2	66	0
2i_sgOct4_R2	2i	sgOct4	2	67	0
2i_sgOct4_R2	2i	sgOct4	2	68	0
2i_sgOct4_R2	2i	sgOct4	2	69	0
2i_sgOct4_R2	2i	sgOct4	2	70	1
2i_sgOct4_R2	2i	sgOct4	2	71	1
2i_sgOct4_R2	2i	sgOct4	2	72	0
2i_sgOct4_R2	2i	sgOct4	2	73	0
2i_sgOct4_R2	2i	sgOct4	2	74	0
2i_sgOct4_R2	2i	sgOct4	2	75	0
2i_sgOct4_R2	2i	sgOct4	2	76	0
2i_sgOct4_R2	2i	sgOct4	2	77	0
2i_sgOct4_R2	2i	sgOct4	2	78	0
2i_sgOct4_R2	2i	sgOct4	2	79	0
2i_sgOct4_R2	2i	sgOct4	2	80	0
2i_sgOct4_R2	2i	sgOct4	2	81	0
2i_sgOct4_R2	2i	sgOct4	2	82	1
2i_sgOct4_R2	2i	sgOct4	2	83	1
2i_sgOct4_R2	2i	sgOct4	2	84	0
2i_sgOct4_R2	2i	sgOct4	2	85	0
2i_sgOct4_R2	2i	sgOct4	2	86	0
2i_sgOct4_R2	2i	sgOct4	2	87	0
2i_sgOct4_R2	2i	sgOct4	2	88	0
2i_sgOct4_R2	2i	sgOct4	2	89	0
2i_sgOct4_R2	2i	sgOct4	2	90	0
2i_sgOct4_R2	2i	sgOct4	2	91	1
2i_sgOct4_R2	2i	sgOct4	2	92	0
2i_sgOct4_R2	2i	sgOct4	2	93	0
2i_sgOct4_R2	2i	sgOct4	2	94	0
2i_sgOct4_R2	2i	sgOct4	2	95	1
2i_sgOct4_R2	2i	sgOct4	2	96	2
2i_sgOct4_R2	2i	sgOct4	2	97	0
2i_sgOct4_R2	2i	sgOct4	2	98	0
2i_sgOct4_R2	2i	sgOct4	2	99	1
2i_sgOct4_R2	2i	sgOct4	2	100	0
2i_sgOct4_R3	2i	sgOct4	3	1	0
2i_sgOct4_R3	2i	sgOct4	3	2	0
2i_sgOct4_R3	2i	sgOct4	3	3	0
2i_sgOct4_R3	2i	sgOct4	3	4	0
2i_sgOct4_R3	2i	sgOct4	3	5	0
2i_sgOct4_R3	2i	sgOct4	3	6	1
2i_sgOct4_R3	2i	sgOct4	3	7	0
2i_sgOct4_R3	2i	sgOct4	3	8	0
2i_sgOct4_R3	2i	sgOct4	3	9	0
2i_sgOct4_R3	2i	sgOct4	3	10	0
2i_sgOct4_R3	2i	sgOct4	3	11	0
2i_sgOct4_R3	2i	sgOct4	3	12	0
2i_sgOct4_R3	2i	sgOct4	3	13	0
2i_sgOct4_R3	2i	sgOct4	3	14	0
2i_sgOct4_R3	2i	sgOct4	3	15	0
2i_sgOct4_R3	2i	sgOct4	3	16	0
2i_sgOct4_R3	2i	sgOct4	3	17	0
2i_sgOct4_R3	2i	sgOct4	3	18	0
2i_sgOct4_R3	2i	sgOct4	3	19	0
2i_sgOct4_R3	2i	sgOct4	3	20	0
2i_sgOct4_R3	2i	sgOct4	3	21	0
2i_sgOct4_R3	2i	sgOct4	3	22	0
2i_sgOct4_R3	2i	sgOct4	3	23	0
2i_sgOct4_R3	2i	sgOct4	3	24	0
2i_sgOct4_R3	2i	sgOct4	3	25	0
2i_sgOct4_R3	2i	sgOct4	3	26	0
2i_sgOct4_R3	2i	sgOct4	3	27	0
2i_sgOct4_R3	2i	sgOct4	3	28	0
2i_sgOct4_R3	2i	sgOct4	3	29	0
2i_sgOct4_R3	2i	sgOct4	3	30	0
2i_sgOct4_R3	2i	sgOct4	3	31	0
2i_sgOct4_R3	2i	sgOct4	3	32	0
2i_sgOct4_R3	2i	sgOct4	3	33	0
2i_sgOct4_R3	2i	sgOct4	3	34	0
2i_sgOct4_R3	2i	sgOct4	3	35	0
2i_sgOct4_R3	2i	sgOct4	3	36	0
2i_sgOct4_R3	2i	sgOct4	3	37	0
