SRR5763910	E5.5_P2.P3_cell121_embryo2_single
SRR5763911	E5.5_P2.P3_cell123_embryo2_single
SRR5763912	E5.5_P2.P3_cell125_embryo2_single
SRR5763913	E5.5_P2.P3_cell126_embryo2_single
SRR5763914	E5.5_P2.P3_cell127_embryo2_single
SRR5763915	E5.5_P2.P3_cell128_embryo2_single
SRR5763916	E5.5_P2.P3_cell129_embryo2_double
SRR5763917	E5.5_P2.P3_cell130_embryo2_double
SRR5763918	E5.5_P2.P3_cell131_embryo2_double
SRR5763919	E5.5_P2.P3_cell132_embryo2_double
SRR5763920	E5.5_P2.P3_cell133_embryo2_double
SRR5763921	E5.5_P2.P3_cell134_embryo2_double
SRR5763922	E5.5_P2.P3_cell135_embryo2_double
SRR5763923	E5.5_P2.P3_cell136_embryo2_double
SRR5763924	E5.5_P2.P3_cell137_embryo2_double
SRR5763925	E5.5_P2.P3_cell139_embryo2_double
SRR5763926	E5.5_P2.P3_cell13_embryo1_single
SRR5763927	E5.5_P2.P3_cell140_embryo2_double
SRR5763928	E5.5_P2.P3_cell141_embryo2_double
SRR5763929	E5.5_P2.P3_cell142_embryo2_double
SRR5763930	E5.5_P2.P3_cell143_embryo2_double
SRR5763931	E5.5_P2.P3_cell144_embryo2_double
SRR5763932	E5.5_P2.P3_cell145_embryo2_double
SRR5763933	E5.5_P2.P3_cell146_embryo2_double
SRR5763934	E5.5_P2.P3_cell147_embryo2_double
SRR5763935	E5.5_P2.P3_cell148_embryo2_double
SRR5763936	E5.5_P2.P3_cell14_embryo1_single
SRR5763937	E5.5_P2.P3_cell15_embryo1_single
SRR5763938	E5.5_P2.P3_cell18_embryo1_single
SRR5763939	E5.5_P2.P3_cell19_embryo1_single
SRR5763940	E5.5_P2.P3_cell1_embryo1_single
SRR5763941	E5.5_P2.P3_cell20_embryo1_single
SRR5763942	E5.5_P2.P3_cell21_embryo1_single
SRR5763943	E5.5_P2.P3_cell23_embryo1_single
SRR5763944	E5.5_P2.P3_cell25_embryo1_single
SRR5763945	E5.5_P2.P3_cell27_embryo1_single
SRR5763946	E5.5_P2.P3_cell2_embryo1_single
SRR5763947	E5.5_P2.P3_cell30_embryo1_single
SRR5763948	E5.5_P2.P3_cell31_embryo1_single
SRR5763949	E5.5_P2.P3_cell36_embryo1_single
SRR5763950	E5.5_P2.P3_cell39_embryo1_single
SRR5763951	E5.5_P2.P3_cell44_embryo1_single
SRR5763952	E5.5_P2.P3_cell47_embryo1_single
SRR5763953	E5.5_P2.P3_cell48_embryo1_single
SRR5763954	E5.5_P2.P3_cell4_embryo1_single
SRR5763955	E5.5_P2.P3_cell55_embryo1_single
SRR5763956	E5.5_P2.P3_cell5_embryo1_single
SRR5763957	E5.5_P2.P3_cell6_embryo1_single
SRR5763958	E5.5_P2.P3_cell7_embryo1_single
SRR5763959	E5.5_P2.P3_cell8_embryo1_single
SRR5763960	E5.5_P2.P3_cell99_embryo2_single
SRR5763961	E5.5_P7.P4.P5_cell10_embryo3_single
SRR5763962	E5.5_P7.P4.P5_cell118_embryo5_single
SRR5763963	E5.5_P7.P4.P5_cell11_embryo3_single
SRR5763964	E5.5_P7.P4.P5_cell125_embryo5_double
SRR5763965	E5.5_P7.P4.P5_cell12_embryo3_single
SRR5763966	E5.5_P7.P4.P5_cell13_embryo3_single
SRR5763967	E5.5_P7.P4.P5_cell145_embryo6_single
SRR5763968	E5.5_P7.P4.P5_cell146_embryo6_single
SRR5763969	E5.5_P7.P4.P5_cell148_embryo6_single
SRR5763970	E5.5_P7.P4.P5_cell14_embryo3_single
SRR5763971	E5.5_P7.P4.P5_cell150_embryo6_single
SRR5763972	E5.5_P7.P4.P5_cell151_embryo6_single
SRR5763973	E5.5_P7.P4.P5_cell153_embryo6_single
SRR5763974	E5.5_P7.P4.P5_cell155_embryo6_single
SRR5763975	E5.5_P7.P4.P5_cell156_embryo6_single
SRR5763976	E5.5_P7.P4.P5_cell157_embryo6_single
SRR5763977	E5.5_P7.P4.P5_cell158_embryo6_single
SRR5763978	E5.5_P7.P4.P5_cell15_embryo3_single
SRR5763979	E5.5_P7.P4.P5_cell160_embryo6_single
SRR5763980	E5.5_P7.P4.P5_cell161_embryo6_single
SRR5763981	E5.5_P7.P4.P5_cell162_embryo6_single
SRR5763982	E5.5_P7.P4.P5_cell163_embryo6_single
SRR5763983	E5.5_P7.P4.P5_cell164_embryo6_single
SRR5763984	E5.5_P7.P4.P5_cell165_embryo6_single
SRR5763985	E5.5_P7.P4.P5_cell166_embryo6_single
SRR5763986	E5.5_P7.P4.P5_cell167_embryo6_single
SRR5763987	E5.5_P7.P4.P5_cell168_embryo6_single
SRR5763988	E5.5_P7.P4.P5_cell169_embryo6_single
SRR5763989	E5.5_P7.P4.P5_cell171_embryo6_single
SRR5763990	E5.5_P7.P4.P5_cell172_embryo6_single
SRR5763991	E5.5_P7.P4.P5_cell173_embryo6_single
SRR5763992	E5.5_P7.P4.P5_cell174_embryo6_single
SRR5763993	E5.5_P7.P4.P5_cell175_embryo6_single
SRR5763994	E5.5_P7.P4.P5_cell178_embryo6_single
SRR5763995	E5.5_P7.P4.P5_cell179_embryo6_single
SRR5763996	E5.5_P7.P4.P5_cell180_embryo6_double
SRR5763997	E5.5_P7.P4.P5_cell181_embryo6_double
SRR5763998	E5.5_P7.P4.P5_cell182_embryo6_double
SRR5763999	E5.5_P7.P4.P5_cell183_embryo6_double
SRR5764000	E5.5_P7.P4.P5_cell20_embryo3_single
SRR5764001	E5.5_P7.P4.P5_cell21_embryo3_single
SRR5764002	E5.5_P7.P4.P5_cell22_embryo3_single
SRR5764003	E5.5_P7.P4.P5_cell23_embryo3_single
SRR5764004	E5.5_P7.P4.P5_cell26_embryo3_double
SRR5764005	E5.5_P7.P4.P5_cell27_embryo3_double
SRR5764006	E5.5_P7.P4.P5_cell28_embryo3_double
SRR5764007	E5.5_P7.P4.P5_cell2_embryo3_single
SRR5764008	E5.5_P7.P4.P5_cell30_embryo3_double
SRR5764009	E5.5_P7.P4.P5_cell32_embryo3_double
SRR5764010	E5.5_P7.P4.P5_cell33_embryo3_double
SRR5764011	E5.5_P7.P4.P5_cell34_embryo3_double
SRR5764012	E5.5_P7.P4.P5_cell3_embryo3_single
SRR5764013	E5.5_P7.P4.P5_cell51_embryo4_single
SRR5764014	E5.5_P7.P4.P5_cell52_embryo4_single
SRR5764015	E5.5_P7.P4.P5_cell54_embryo4_single
SRR5764016	E5.5_P7.P4.P5_cell55_embryo4_single
SRR5764017	E5.5_P7.P4.P5_cell56_embryo4_single
SRR5764018	E5.5_P7.P4.P5_cell58_embryo4_single
SRR5764019	E5.5_P7.P4.P5_cell59_embryo4_single
SRR5764020	E5.5_P7.P4.P5_cell62_embryo4_single
SRR5764021	E5.5_P7.P4.P5_cell63_embryo4_single
SRR5764022	E5.5_P7.P4.P5_cell65_embryo4_double
SRR5764023	E5.5_P7.P4.P5_cell66_embryo4_double
SRR5764024	E5.5_P7.P4.P5_cell68_embryo4_double
SRR5764025	E5.5_P7.P4.P5_cell6_embryo3_single
SRR5764026	E5.5_P7.P4.P5_cell70_embryo4_double
SRR5764027	E5.5_P7.P4.P5_cell71_embryo4_double
SRR5764028	E5.5_P7.P4.P5_cell72_embryo4_double
SRR5764029	E5.5_P7.P4.P5_cell73_embryo4_double
SRR5764030	E5.5_P7.P4.P5_cell74_embryo4_double
SRR5764031	E5.5_P7.P4.P5_cell7_embryo3_single
SRR5764032	E5.5_P7.P4.P5_cell8_embryo3_single
SRR5764033	E5.5_P7.P4.P5_cell9_embryo3_single
SRR5764034	E6.5_cell10_embryo2_single
SRR5764035	E6.5_cell11_embryo2_single
SRR5764036	E6.5_cell12_embryo2_single
SRR5764037	E6.5_cell19_embryo2_single
SRR5764038	E6.5_cell22_embryo2_single
SRR5764039	E6.5_cell23_embryo2_single
SRR5764040	E6.5_cell24_embryo2_single
SRR5764041	E6.5_cell26_embryo1_single
SRR5764042	E6.5_cell31_embryo2_double
SRR5764043	E6.5_cell32_embryo2_double
SRR5764044	E6.5_cell34_embryo2_single
SRR5764045	E6.5_cell35_embryo2_single
SRR5764046	E6.5_cell36_embryo2_single
SRR5764047	E6.5_cell39_embryo1_single
