Gene	reporter	pval	fdr	lfc	norm_lfc	zfc
Klf16_p1	RE97	0.6948330037513124	1	-0.2062969632310701	-0.0695979074807712	-0.06519493689744689
Klf2_p1	RE127	0.0011730952007586155	0.11965571047737879	0.23373050266123338	0.29183221514771196	-0.6740361748599456
Klf2_p1	RE57L	2.7945988463002305e-7	2.9902207655412467e-5	-1.1843373570424576	-1.126235644555979	0.8997036425181847
Klf2_p1	RE57M	4.50744755655764e-7	4.642670983254369e-5	-0.8146543781968854	-0.7565526657104068	0.8435333862159593
Klf2_p1	RE57R	0.5908434135947447	1	-0.2232040772250065	-0.1651023647385279	0.09779710981428726
Klf2_p1	RE58	0.3079563423803821	1	-0.3671509861589606	-0.30904927367248197	0.21316811060818633
Klf2_p1	RE61	1.3414096555896228e-4	0.013279955590337266	0.18269106768368143	0.24079278017016	-0.6475578452926921
Klf2_p1	RE85	1.3476335900510105e-7	1.428491605454071e-5	0.7393283993836935	0.7974301118701721	-1.2848641135597492
Klf2_p1	RE93	0.045960475724035006	1	-0.21443315003427205	-0.15633143754779347	0.25274553850728787
Klf2_p1	RE95	0.019308076710820705	1	-0.26116889198369453	-0.20306717949721592	0.28108403934249027
Klf2_p1	RE96	0.02615149707164614	1	0.03206801216509228	0.09016972465157086	-0.3364268569969222
Klf2_p1	RE97	0.15643813549370858	1	-0.0789515968878786	-0.020849884401400013	-0.1653039430271708
Klf4_p2	RE127	0.531451821496489	1	-0.11026849842494105	0.021718406575093666	-0.1507851228195486
Klf4_p2	RE57L	0.8525528830323146	1	-0.2933560495491884	-0.16136914454915374	-0.03637106686141941
Klf4_p2	RE57M	0.725282975626543	1	-0.23292134574776613	-0.10093444074773142	-0.02908350892322768
Klf4_p2	RE57R	0.9835643237607683	1	-0.24256679150669788	-0.11057988650666316	0.004394789039885545
Klf4_p2	RE58	0.3662705780609343	1	-0.15357969448066827	-0.02159278948063356	-0.18454049812842274
Klf4_p2	RE61	6.049782368292637e-4	0.05747293249878005	0.019449613987405683	0.1514365189874404	-0.48543954319375593
Klf4_p2	RE85	1.2033957564762915e-5	0.0012154297140410544	0.19900806491595519	0.3309949699159899	-0.6989182388445309
Klf4_p2	RE93	7.541989431307892e-5	0.007768249114247129	0.15007841282932902	0.2820653178293637	-0.581209317715792
Klf4_p2	RE95	0.6550473132500658	1	-0.1469419680745064	-0.014955063074471708	-0.0953126960501502
Klf4_p2	RE96	0.160434770485813	1	-0.04840871697406448	0.08357818802597024	-0.3326225925211243
Klf4_p2	RE97	0.2337207926230079	1	-0.11823172966380485	0.013755175336229853	-0.18603955179750775
Klf5_p1	RE127	3.8555452234393734e-4	0.04048322484611342	-0.13473079250937287	-0.4008901631419602	0.6647273748734738
Klf5_p1	RE57L	0.08491952801443006	1	0.4693402088307355	0.2031808381981482	-0.3900546840067227
Klf5_p1	RE57M	0.3105826448456217	1	0.0399749214768354	-0.22618444915575192	0.13812220341347264
Klf5_p1	RE57R	0.1779313832280925	1	-0.012331947496659643	-0.278491318129247	0.28539916888428063
Klf5_p1	RE58	0.009236319675373162	0.9051593281865699	-0.355860993260251	-0.6220203638928383	0.5849149626757215
Klf5_p1	RE61	0.98633781574307	1	0.12858964403289502	-0.1375697265996923	0.002983146775762273
Klf5_p1	RE85	0.27321950408066004	1	0.13712138013573716	-0.12903799049685016	-0.12767938568798803
Klf5_p1	RE93	3.404051819878503e-5	0.003540213892673643	-0.10928220324225146	-0.3754415738748388	0.6656098682835375
Klf5_p1	RE95	0.008045354473392845	0.7240819026053561	-0.09757181000744794	-0.36373118064003523	0.6150945991999958
Klf5_p1	RE96	0.6028634782428715	1	0.10040071519157373	-0.1657586554410136	0.11217048270732839
Klf5_p1	RE97	0.022337454951075454	1	-0.07308171747010558	-0.3392410881026929	0.4190313049192834
Mbd3_p1	RE127	0.09959590893938423	1	-0.24445072861396847	-0.171340792988392	0.25866990358314385
Mbd3_p1	RE57L	0.004017428005035363	0.3856730884833948	-0.7607099792634526	-0.6876000436378761	0.4683967919681261
